Nome da empresa,Problemas_Empresa,Tipo_Nome_Empresa,Empresa_Padronizada,Qualidade_Padronizada
Giesecke+Devrient,['Caracteres especiais'],Nome padrão,GieseckeDevrient,OK
Amazon Development Center,['OK'],Nome padrão,Amazon Development Center,OK
OVHcloud,['OK'],Nome padrão,Ovhcloud,OK
Mindee,['OK'],Nome padrão,Mindee,OK
nmedia GmbH,['OK'],Com sufixo corporativo,Nmedia,OK
SUSE,['Tudo maiúsculo'],Muito curto,SUSE,Tudo maiúsculo
marken mehrwert - brand added value AG,['OK'],Com sufixo corporativo,Marken Mehrwert - Brand Added Value,OK
ARMITAGE SYSTEMS LTD,['Tudo maiúsculo'],Com sufixo corporativo,ARMITAGE SYSTEMS LTD,Tudo maiúsculo
WizzInvest,['OK'],Nome padrão,Wizzinvest,OK
Ernst & Young,['OK'],Nome padrão,Ernst & Young,OK
Canon UK,['OK'],Contém siglas,Canon Uk,OK
Distribusion Technologies,['OK'],Nome padrão,Distribusion Technologies,OK
Amazon Development Center (Ivona Software),['OK'],Nome padrão,Amazon Development Center Ivona Software,OK
Regnology,['OK'],Nome padrão,Regnology,OK
McDonald's,['Caracteres especiais'],Nome padrão,McdonaldS,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
showroomprive.com,['Tudo minúsculo'],Nome padrão,ShowroompriveCom,OK
Veepee,['OK'],Nome padrão,Veepee,OK
CORPORAMA,['Tudo maiúsculo'],Contém siglas,CORPORAMA,Tudo maiúsculo
Spend-365,['Contém números'],Nome padrão,Spend-365,Contém números
GK Software SE,['OK'],Contém siglas,Gk Software Se,OK
EY,['Tudo maiúsculo'],Muito curto,Ey (abreviado),OK
Giesecke & Devrient,['OK'],Nome padrão,Giesecke & Devrient,OK
CertEurope - An InfoCert Company,['OK'],Nome padrão,Certeurope - An Infocertmpany,OK
MyEnergy Solutions Ltd,['OK'],Com sufixo corporativo,Myenergy Solutions,OK
Evolve,['OK'],Nome padrão,Evolve,OK
"BCS, The Chartered Institute for IT",['OK'],Contém siglas,BCS The Chartered Institute For It,OK
Industrial Application Software (IAS) GmbH,['OK'],Com sufixo corporativo,Industrial Application Software IAS,OK
Amazon Development Center,['OK'],Nome padrão,Amazon Development Center,OK
EY,['Tudo maiúsculo'],Muito curto,Ey (abreviado),OK
EY,['Tudo maiúsculo'],Muito curto,Ey (abreviado),OK
Amazon Development Center,['OK'],Nome padrão,Amazon Development Center,OK
Kagool,['OK'],Nome padrão,Kagool,OK
Datamatics Group,['OK'],Nome padrão,Datamatics Group,OK
Xee,['OK'],Muito curto,Xee,OK
Ariba,['OK'],Nome padrão,Ariba,OK
cycos AG,['OK'],Com sufixo corporativo,Cycos,OK
"cycos AG, an Eviden Business",['OK'],Com sufixo corporativo,Cycos An Eviden Business,OK
Freelance Costiumer,['OK'],Nome padrão,Freelancestiumer,OK
clickworker,['Tudo minúsculo'],Nome padrão,Clickworker,OK
Allgeier Experts,['OK'],Nome padrão,Allgeier Experts,OK
Tiime,['OK'],Nome padrão,Tiime,OK
Intenta GmbH,['OK'],Com sufixo corporativo,Intenta,OK
Vearsa,['OK'],Nome padrão,Vearsa,OK
Pure Barre,['OK'],Nome padrão,Pure Barre,OK
EY,['Tudo maiúsculo'],Muito curto,Ey (abreviado),OK
Gemalto,['OK'],Nome padrão,Gemalto,OK
Gemalto,['OK'],Nome padrão,Gemalto,OK
INFOLOG GmbH,['OK'],Com sufixo corporativo,INFOLOG,Tudo maiúsculo
Wavestone,['OK'],Nome padrão,Wavestone,OK
20SHOTS,"['Contém números', 'Tudo maiúsculo']",Nome padrão,20SHOTS,Tudo maiúsculo
Awingu,['OK'],Nome padrão,Awingu,OK
Noventiq,['OK'],Nome padrão,Noventiq,OK
Amazon Development Center,['OK'],Nome padrão,Amazon Development Center,OK
ISAGRI Groupe,['OK'],Com sufixo corporativo,ISAGRI Groupe,OK
GoodVision Ltd,['OK'],Com sufixo corporativo,Goodvision,OK
Sdui,['OK'],Muito curto,Sdui,OK
Housing Partners Ltd,['OK'],Com sufixo corporativo,Housing Partners,OK
Betfair,['OK'],Nome padrão,Betfair,OK
Swile,['OK'],Nome padrão,Swile,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
Veepee,['OK'],Nome padrão,Veepee,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
MyBus,['OK'],Nome padrão,Mybus,OK
UXMA GmbH & Co. KG,['OK'],Com sufixo corporativo,UXMA & Kg,OK
Stimme Mediengruppe,['OK'],Nome padrão,Stimme Mediengruppe,OK
BPCE Infogérance & Technologies,['OK'],Contém siglas,BPCE Infogérance & Technologies,OK
T-Systems South Africa,['OK'],Nome padrão,T-Systems South Africa,OK
Amazon Development Center,['OK'],Nome padrão,Amazon Development Center,OK
Rödl & Partner,['OK'],Nome padrão,Rödl & Partner,OK
Vlaanderen connect.,['OK'],Nome padrão,Vlaanderen Connect,OK
ARIADNEXT,['Tudo maiúsculo'],Contém siglas,ARIADNEXT,Tudo maiúsculo
TIER Mobility,['OK'],Contém siglas,TIER Mobility,OK
Veepee,['OK'],Nome padrão,Veepee,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
PandaScore,['OK'],Nome padrão,Pandascore,OK
AQUASSAY,['Tudo maiúsculo'],Com sufixo corporativo,AQUASSAY,Tudo maiúsculo
AQUASSAY,['Tudo maiúsculo'],Com sufixo corporativo,AQUASSAY,Tudo maiúsculo
Ahold Delhaize,['OK'],Nome padrão,Ahold Delhaize,OK
Ahold Delhaize,['OK'],Nome padrão,Ahold Delhaize,OK
Bonial.com,['OK'],Nome padrão,BonialCom,OK
teclet,['Tudo minúsculo'],Nome padrão,Teclet,OK
Operator Chmury Krajowej - OChK,['OK'],Nome padrão,Operator Chmury Krajowej - Ochk,OK
Operator Chmury Krajowej,['OK'],Nome padrão,Operator Chmury Krajowej,OK
Operator Chmury Krajowej,['OK'],Nome padrão,Operator Chmury Krajowej,OK
The Unity Soft,['OK'],Nome padrão,The Unity Soft,OK
allbranded,['Tudo minúsculo'],Nome padrão,Allbranded,OK
JANUS Engineering AG,['OK'],Com sufixo corporativo,JANUS Engineering,OK
REAKTO Polska,['OK'],Contém siglas,REAKTO Polska,OK
HOLOGATE,['Tudo maiúsculo'],Contém siglas,HOLOGATE,Tudo maiúsculo
heycar,['Tudo minúsculo'],Nome padrão,Heycar,OK
Logicalis UK,['OK'],Contém siglas,Logicalis Uk,OK
"Siemens, Munich (Germany)",['OK'],Nome padrão,Siemens Munich Germany,OK
Siemens Communications,['OK'],Nome padrão,Siemensmmunications,OK
Siemens Enterprise Communication,['OK'],Nome padrão,Siemens Enterprisemmunication,OK
Siemens AG Com Enterprise,['OK'],Com sufixo corporativo,Siemensm Enterprise,OK
ETIV-System Gmbh,['OK'],Contém siglas,Etiv-System Gmbh,OK
Tweaq,['OK'],Nome padrão,Tweaq,OK
pdm solutions GmbH,['OK'],Com sufixo corporativo,Pdm Solutions,OK
IP Dynamics GmbH,['OK'],Com sufixo corporativo,Ip Dynamics,OK
Konrad Sp. z o.o.,['OK'],Nome padrão,Konrad Sp Z OO,OK
Konrad Sp. z o.o.,['OK'],Nome padrão,Konrad Sp Z OO,OK
Codility,['OK'],Nome padrão,Codility,OK
Codility,['OK'],Nome padrão,Codility,OK
collaboration Factory AG,['OK'],Com sufixo corporativo,Collaboration Factory,OK
Techpilot - DynamicMarkets GmbH,['OK'],Com sufixo corporativo,Techpilot - Dynamicmarkets,OK
Techpilot - DynamicMarkets GmbH,['OK'],Com sufixo corporativo,Techpilot - Dynamicmarkets,OK
Xantaro,['OK'],Nome padrão,Xantaro,OK
