Usuário - redes sociais,URLs_Separadas,URLs_Padronizadas,LinkedIn_Usernames,Redes_Sociais_Classificadas,LinkedIn_Principal,Outras_Redes_Sociais,URLs_Validas,Rede_Social_Principal
https://www.linkedin.com/in/fabian-staudigl,['https://www.linkedin.com/in/fabian-staudigl'],['https://linkedin.com/in/fabian-staudigl'],['fabian-staudigl'],{'linkedin': ['https://linkedin.com/in/fabian-staudigl']},https://linkedin.com/in/fabian-staudigl,[],['https://linkedin.com/in/fabian-staudigl'],https://linkedin.com/in/fabian-staudigl
https://www.linkedin.com/in/fabian-staudigl,['https://www.linkedin.com/in/fabian-staudigl'],['https://linkedin.com/in/fabian-staudigl'],['fabian-staudigl'],{'linkedin': ['https://linkedin.com/in/fabian-staudigl']},https://linkedin.com/in/fabian-staudigl,[],['https://linkedin.com/in/fabian-staudigl'],https://linkedin.com/in/fabian-staudigl
,[],[],[],{},,[],[],
https://www.linkedin.com/in/yan-chen-9b1aa784,['https://www.linkedin.com/in/yan-chen-9b1aa784'],['https://linkedin.com/in/yan-chen-9b1aa784'],['yan-chen-9b1aa784'],{'linkedin': ['https://linkedin.com/in/yan-chen-9b1aa784']},https://linkedin.com/in/yan-chen-9b1aa784,[],['https://linkedin.com/in/yan-chen-9b1aa784'],https://linkedin.com/in/yan-chen-9b1aa784
https://www.linkedin.com/in/michał-dyk-87597a335,['https://www.linkedin.com/in/michał-dyk-87597a335'],['https://linkedin.com/in/michał-dyk-87597a335'],['michał-dyk-87597a335'],{'linkedin': ['https://linkedin.com/in/michał-dyk-87597a335']},https://linkedin.com/in/michał-dyk-87597a335,[],['https://linkedin.com/in/michał-dyk-87597a335'],https://linkedin.com/in/michał-dyk-87597a335
https://www.linkedin.com/in/manuel-bock-muenchen,['https://www.linkedin.com/in/manuel-bock-muenchen'],['https://linkedin.com/in/manuel-bock-muenchen'],['manuel-bock-muenchen'],{'linkedin': ['https://linkedin.com/in/manuel-bock-muenchen']},https://linkedin.com/in/manuel-bock-muenchen,[],['https://linkedin.com/in/manuel-bock-muenchen'],https://linkedin.com/in/manuel-bock-muenchen
https://www.linkedin.com/in/anthony-mindren,['https://www.linkedin.com/in/anthony-mindren'],['https://linkedin.com/in/anthony-mindren'],['anthony-mindren'],{'linkedin': ['https://linkedin.com/in/anthony-mindren']},https://linkedin.com/in/anthony-mindren,[],['https://linkedin.com/in/anthony-mindren'],https://linkedin.com/in/anthony-mindren
https://www.linkedin.com/in/jens-heinrich-cto,['https://www.linkedin.com/in/jens-heinrich-cto'],['https://linkedin.com/in/jens-heinrich-cto'],['jens-heinrich-cto'],{'linkedin': ['https://linkedin.com/in/jens-heinrich-cto']},https://linkedin.com/in/jens-heinrich-cto,[],['https://linkedin.com/in/jens-heinrich-cto'],https://linkedin.com/in/jens-heinrich-cto
https://www.linkedin.com/in/guillaume-barthollet-11156093,['https://www.linkedin.com/in/guillaume-barthollet-11156093'],['https://linkedin.com/in/guillaume-barthollet-11156093'],['guillaume-barthollet-11156093'],{'linkedin': ['https://linkedin.com/in/guillaume-barthollet-11156093']},https://linkedin.com/in/guillaume-barthollet-11156093,[],['https://linkedin.com/in/guillaume-barthollet-11156093'],https://linkedin.com/in/guillaume-barthollet-11156093
https://www.linkedin.com/in/maroine-benabdallah-a146a0108,['https://www.linkedin.com/in/maroine-benabdallah-a146a0108'],['https://linkedin.com/in/maroine-benabdallah-a146a0108'],['maroine-benabdallah-a146a0108'],{'linkedin': ['https://linkedin.com/in/maroine-benabdallah-a146a0108']},https://linkedin.com/in/maroine-benabdallah-a146a0108,[],['https://linkedin.com/in/maroine-benabdallah-a146a0108'],https://linkedin.com/in/maroine-benabdallah-a146a0108
https://www.linkedin.com/in/larissa-bianchi-53695b2b,['https://www.linkedin.com/in/larissa-bianchi-53695b2b'],['https://linkedin.com/in/larissa-bianchi-53695b2b'],['larissa-bianchi-53695b2b'],{'linkedin': ['https://linkedin.com/in/larissa-bianchi-53695b2b']},https://linkedin.com/in/larissa-bianchi-53695b2b,[],['https://linkedin.com/in/larissa-bianchi-53695b2b'],https://linkedin.com/in/larissa-bianchi-53695b2b
https://www.linkedin.com/in/larissa-bianchi-53695b2b,['https://www.linkedin.com/in/larissa-bianchi-53695b2b'],['https://linkedin.com/in/larissa-bianchi-53695b2b'],['larissa-bianchi-53695b2b'],{'linkedin': ['https://linkedin.com/in/larissa-bianchi-53695b2b']},https://linkedin.com/in/larissa-bianchi-53695b2b,[],['https://linkedin.com/in/larissa-bianchi-53695b2b'],https://linkedin.com/in/larissa-bianchi-53695b2b
